業別,團  體  名  稱,理事長,會址或通訊處,電    話
經濟,嘉義縣達邦部落生態旅遊協會,汪啟德,嘉義縣阿里山鄉達邦村7鄰185號,0972197385
經濟,嘉義縣農漁村風味休閒發展協會,蔡清桐,嘉義縣東石鄉三家村127-11號,05-3733441 0915279216
經濟,嘉義縣牡蠣養殖產銷協會,王俊忠,嘉義縣東石鄉東石村觀海三路302號,05-3730019
經濟,嘉義縣義竹特色產業發展協會,黃尚文,嘉義縣義竹鄉仁里村409號之9,955736496
經濟,嘉義縣技能人才培訓學會,羅美莉,嘉義縣中埔鄉中華路938號,05-2391490 0919120071
經濟,嘉義縣太保水牛商圈發展協會,謝碧娟,嘉義縣太保市過溝里86號,05-3711539
經濟,嘉義縣阿里山茶業協會,官建安,嘉義縣竹崎鄉灣橋村崎腳112之17號,05-2791602
經濟,嘉義縣虎頭崁埤觀光促進會,黃嘉寬,嘉義縣民雄鄉大崎村內埔仔32-2號,
經濟,嘉義縣農業整合發展協會,范?寶,嘉義縣中埔鄉和美村司公部35-1號,05-2717296 0931758568
經濟,嘉義縣生態休閒數位發展協會,黃朝輝,嘉義縣新港鄉月眉村月眉47-4號,3775880 0953950529
經濟,嘉義縣鰲鼓溼地生態保護協會,紀清順,嘉義縣東石鄉鰲鼓12鄰四股64-6號,0963190581
經濟,嘉義縣咖啡產業發展協會,鄭虞坪,嘉義縣阿里山鄉樂野村4鄰127之2號,05-2562788 0956078500
經濟,嘉義縣大林魅力商圈協會,李秀美,嘉義縣大林鎮中正路462-1號,05-2655816
經濟,嘉義縣鄉村永續發展協會,吳淑芳,嘉義縣東石鄉塭仔村後埔2號附8,05-3453238 0932890386
經濟,嘉義縣白水湖漁業經濟產銷發展促進協會,蔡順原,嘉義縣東石鄉掌潭村白水湖38號,05-3451857
經濟,嘉義縣大埔觀光促進協會,程婉君,嘉義縣大埔鄉和平村100號,05-2522169 0963237555
經濟,嘉義縣朴子溪觀光發展協會,黃江正,嘉義縣六腳鄉工廠村147號,3804989 0963161300
經濟,嘉義縣虱目魚產業發展協會,蔡欽烈,嘉義縣布袋鎮復興里17-61號,05-3432995 0937611247
經濟,嘉義縣梅山鄉茶藝推廣協會,葉秀麗,嘉義縣梅山鄉中山路282號,05-2620557
經濟,嘉義縣養鴨協會,羅啟耀,嘉義縣溪口鄉溪東村溪民路102號,05-2691236 0910578656
經濟,嘉義縣阿里山鄉茶山休閒農業永續發展協會,許益源,嘉義縣阿里山鄉茶山村3鄰60號,05-2513122 0932773883
經濟,嘉義縣阿里山鄉taso ci cou有機農業發展協會,汪堅雄,嘉義縣阿里山鄉新美村4鄰61號,05-2513076  2513334 0933277658
經濟,嘉義縣阿里山高山茶官能品評協會,簡文化,嘉義縣梅山鄉中山路127號,05-2260502 0932789116
經濟,嘉義縣濱海產業暨觀光發展協會,游美榮,嘉義縣布袋鎮岑海里新北路22號,3472755 0989072333
經濟,嘉義縣農民發展協會,黃聰敏,嘉義縣太保市南新里和平路27巷2號,2373659 0910777935 2373358
經濟,嘉義縣農產品產業推廣協會,曾國憲,嘉義縣布袋鎮見龍里內田41號,05-3479177 0932975380
經濟,嘉義縣香蕉產業發展協會,劉建吉,嘉義縣竹崎鄉紫雲村頭前厝26-32號,0921500915
經濟,嘉義縣水域遊憩協會,楊敦熙,嘉義縣東石鄉蔦松村船仔頭1-5號,0921519129 0988355132
經濟,嘉義縣饗食樂遊發展協會,李秀敏,嘉義縣朴子市大鄉里216-3號,05-3791789 0952942001
經濟,嘉義縣新港鄉南笨港休閒農業區發展協會,陳忠正,嘉義縣新港鄉616板頭村板頭厝45之1號,05-7810368 0982502919
經濟,嘉義縣精緻農業協會,謝俊宏,嘉義縣溪口鄉柳溝村阿連庄9號,936426291 0912990003
經濟,嘉義縣觀光農業暨水利生態發展協會,王金標,嘉義縣太保市安仁里1鄰三塊厝3號之2,3623201 0910849860
經濟,嘉義縣135觀光發展協會,林啟銘,嘉義縣中埔鄉石?村45號,0939348023 0932981643
慈善社會服務,社團法人嘉義縣生命線協會,翁金生,嘉義縣民雄鄉文化路5之8號,2267395 2267995   
慈善社會服務,嘉義縣警察之友會,曾秋猛,嘉義縣太保市祥和一路3號3樓,3620243
慈善社會服務,嘉義縣榮退同心會,陳武秋,嘉義縣水上鄉水上鄉中庄村中庄101之8號,2682214  2893181 0910835745
慈善社會服務,社團法人嘉義縣仁愛慈善會,簡琦?,會館:嘉義市垂楊路689號,2859995  F:2851735
慈善社會服務,嘉義縣道路交通安全促進會,黃嘉寬,嘉義縣民雄鄉昇平路中樂村27-1號,2060861-2  F:2263003
慈善社會服務,社團法人嘉義縣竹崎愛鄉同心會,劉順國,嘉義縣竹崎鄉鹿滿村鹿鳴路94號,2543205   會:2611639 
慈善社會服務,嘉義縣民眾服務社,蔡飛龍,嘉義縣朴子市祥和一路西段2號,3620283轉205
慈善社會服務,嘉義縣朴子市民眾服務社,李天榮,嘉義縣朴子市平和路11之1號,3792135  3700404
慈善社會服務,嘉義縣布袋鎮民眾服務社,李福度,嘉義縣布袋鎮興中里自由路9號,3472051   3475986
慈善社會服務,嘉義縣大林鎮民眾服務社,陳長燦,嘉義縣大林鎮中興路241號,2652041    2684091
慈善社會服務,嘉義縣民雄鄉民眾服務社,劉文渠,嘉義縣民雄鄉民溪路76號,2262003 2267909
慈善社會服務,嘉義縣溪口鄉民眾服務社,郭志銘,嘉義縣溪口鄉溪東村中正路179號,2691059
慈善社會服務,嘉義縣新港鄉民眾服務社,林明記,嘉義縣新港鄉福德路108之3號,3742018 3746890
慈善社會服務,嘉義縣六腳鄉民眾服務社,?彰相,嘉義縣六腳鄉蒜頭村76之3號,3802014 3792135
慈善社會服務,嘉義縣東石鄉民眾服務社,林源振,嘉義縣東石鄉東石村14鄰之3之1號,3732244
慈善社會服務,嘉義縣義竹鄉民眾服務社,"
翁意淳",嘉義縣義竹鄉仁里村8鄰318之2號,3412031 0933706476
慈善社會服務,嘉義縣鹿草鄉民眾服務社,李家弘,嘉義縣鹿草鄉鹿草村圓山路225號  ,3752034
慈善社會服務,嘉義縣太保市民眾服務社,鄭嘉發,嘉義縣太保市太保里53之1號,3711034
慈善社會服務,嘉義縣水上鄉民眾服務社,陳德榮,嘉義縣水上鄉水上村中正路155巷5號,2684333    F: 2600883
慈善社會服務,嘉義縣中埔鄉民眾服務社,曾南彥,嘉義縣中埔鄉中埔村和美村忠義路57號  ,2531007  2533000
慈善社會服務,嘉義縣竹崎鄉民眾服務社,柳建平,嘉義縣竹崎鄉竹崎村中山路47號,2611015   F2614102
慈善社會服務,嘉義縣梅山鄉民眾服務社,楊同義,嘉義縣梅山鄉梅北村華山路22號,2621043 2620619 2626501
慈善社會服務,嘉義縣番路鄉民眾服務社,游泰山,嘉義縣番路鄉下坑村菜公店78號,2591155   2590559  2591015  2611015
慈善社會服務,嘉義縣阿里山鄉民眾服務社,"
葉秋源",嘉義縣阿里山鄉樂野村9鄰226號,2531007 0928711586
慈善社會服務,嘉義縣大埔鄉民眾服務社,江耀輝,嘉義縣大埔鄉大埔村4鄰52之7號,2511052
慈善社會服務,嘉義縣女童軍會,陳鳳梅,嘉義縣布袋鎮新厝里65號,3472007  0972343909
慈善社會服務,嘉義縣幼兒教育學會,黃正雄,嘉義縣鹿草鄉鹿草村圓山路216巷12號,2393901 0910754586 0928777073
慈善社會服務,社團法人嘉義縣退伍軍人協會,王昌碩,嘉義縣朴子市大鄉里229之4號,05-3797805
慈善社會服務,社團法人嘉義縣仁里慈濟會,?國寶,會館:嘉義縣中埔鄉社口村檨仔林路43之20號, 2533441   0986787606
慈善社會服務,嘉義縣濟世慈善會,戴廷武,嘉義縣東石鄉網寮村1之1號,3792188公 3454337會
慈善社會服務,嘉義縣童軍會,張花冠,嘉義縣布袋鎮岑海里文昌街61號,05-2891868   3476886-208
慈善社會服務,嘉義縣生態環境保育協會,蘇銀添,嘉義縣布袋鎮龍江里356之13號,3432195 3478163
慈善社會服務,嘉義縣八二三戰役戰友協會,簡同和,嘉義縣大林鎮過溪里10鄰35號,0928778688 0912752883
慈善社會服務,嘉義縣肢體殘障福利協進會,陳秀美,嘉義縣大林鎮平林里新興街138號,05-2659211
慈善社會服務,嘉義縣救難協會,徐紹唐,嘉義縣朴子市大?榔1037號,救難專線0921212121 0978991380  0926078060  3660880
慈善社會服務,嘉義縣善德同心濟世會,蔡鶯華,嘉義縣水上鄉內溪村溪仔底19號,2600004 2686046 2355573
慈善社會服務,嘉義縣水上救生協會,呂文正,嘉義縣東石鄉洲仔村洲仔188號,05-3742170 3623080 0936988130
慈善社會服務,嘉義縣航空站交通安全服務協進會,林俊南,嘉義縣水上鄉榮典路1號,2861822
慈善社會服務,嘉義縣自然環境美化協進會,侯清河,嘉義縣朴子市文化里平和路14號,3792451
慈善社會服務,社團法人嘉義縣慈母善德會,吳秋文,嘉義市大統路158號,2837305   O:2860235 0972800389
慈善社會服務,嘉義縣阿里山鐵道文化協會,林金坤,嘉義縣竹崎鄉中秋村奮起湖159之2號,2562388   F:2561899
慈善社會服務,社團法人嘉義縣太保福音協會,張嘉文,嘉義縣太保市太保里46號, 05-3716015 0961121776
慈善社會服務,嘉義縣重大傷病關懷協會,陳在春,嘉義縣民雄鄉金興村立德街26號,2219161 2219164
慈善社會服務,嘉義縣頂塗溝文化發展協會,詹國慶,嘉義縣水上鄉塗溝村頂塗溝20之7號,3792832   F:3716211
慈善社會服務,嘉義縣慈善關懷協會,蕭苑瑜,嘉義縣太保市北新里中山路1段226號,23586091
慈善社會服務,嘉義縣祥和文化發展協進會,黃,嘉義縣太保市祥和新村47號七主宮廟,3622699
慈善社會服務,嘉義縣北回二二八和平記念公園促進會,盧俊明,嘉義縣水上鄉下寮村23之103號,2832103
慈善社會服務,社團法人嘉義縣志願服務協會,劉顯?,嘉義縣民雄鄉西安村進興街132-1號,2067750
慈善社會服務,嘉義縣九一一危機處理協會,曾茂家,嘉義縣新港鄉三間村鑽石新城17之12號,0922525899  937350597
慈善社會服務,嘉義縣原住民族發展協會,楊素蓮,嘉義市宣信街87號,2292425   F:2160175 0922008862
慈善社會服務,嘉義縣番路身心發展協會,張明達,嘉義縣番路鄉下坑村菜公店60號,2592353
慈善社會服務,嘉義縣義消協會,張明達,嘉義縣番路鄉下坑村菜公店36-3號,"3660583    F:3660716
0932838289"
慈善社會服務,嘉義縣自然生態環境保護行動協會,賴朝崙,嘉義縣民雄鄉福樂村建國路3段124巷48號,2207223
慈善社會服務,嘉義縣青溪總會,李文卿,嘉義縣民雄鄉興中村義橋1-30號,0910836299
慈善社會服務,嘉義縣野鳥學會,李灌霖,會:嘉義縣太保市信義二路157之167號,3621839
慈善社會服務,中華民國紅十字會台灣省嘉義縣支會,鄭木益,嘉義縣朴子市祥和新村祥和二路東段5號3樓,3621207   F:3621883
慈善社會服務,嘉義縣青年創業協會,李俊旺,聯絡地址：嘉義市德安路27號6樓之1,3742875   F:3747897  3741514  0931753012 2335892
慈善社會服務,嘉義縣青少年福利服務協會,黃修諄,嘉義縣中埔鄉和美村中山新村245號,2611284
慈善社會服務,嘉義縣東石扁舟環保協進會,黃明義,嘉義縣東石鄉東石村黎明710號,3731005
慈善社會服務,嘉義縣鹿草身心健康協會,張明瑞,嘉義縣鹿草鄉西井村11鄰68號,3651291..3750306 3751601 3750080 3753295
慈善社會服務,嘉義縣促進飛航安全協會,黃耿亮,嘉義縣太保市春珠里8之9號,2370048
慈善社會服務,嘉義縣傑出農民協會,羅秀梅,嘉義市博愛路二段459號,05-2360311轉19
慈善社會服務,嘉義縣巡守協會,王啟澧,嘉義縣水上鄉水上村市政街31巷22號,2688666
慈善社會服務,嘉義縣警察局愛心急難救助會,黃清裕,嘉義縣太保市祥和一路東段3號,3620249   2679855 3628873
慈善社會服務,嘉義縣阿里山登山協會,黃安志,嘉義縣阿里山鄉中山村49之1號,2368005
慈善社會服務,嘉義縣宋友慈善關懷協會,張先國,嘉義市民生南路280號,2368005
慈善社會服務,嘉義縣後備憲兵荷松協會,施水亮,嘉義縣鹿草鄉施家村施厝寮53之6號,陳:2258585    #6108   F:2535345
慈善社會服務,嘉義縣布袋歌友會,邱家訓,嘉義縣布袋鎮見龍里14鄰3之22號,3474113
慈善社會服務,嘉義縣兵役協會,侯清河,嘉義縣中埔鄉和美村中山路5段732巷75號,2399199
慈善社會服務,嘉義縣李登輝之友會,蔡易餘,嘉義縣朴子市中興路140巷4號,T:05-3708518   F:05-3708519
慈善社會服務,社團法人嘉義縣梅山愛心行善會,郭章見,會館:嘉義縣梅山鄉梅東村玄廟路46-1號,2625645
慈善社會服務,嘉義縣大智慧養生協會,賴彗菁,嘉義縣民雄鄉山中村牛斗山180之1號,2211179   0933279494
慈善社會服務,嘉義縣扁友會,蔡啟芳,嘉義縣朴子市文化北路120號,3708518
慈善社會服務,嘉義縣同欣歌友會,許雪珍,嘉義縣東石鄉洲仔村39號,3797929 0937559827
慈善社會服務,嘉義縣祥和愛心會,林于玲,嘉義縣民雄鄉西安村復興路157號,2264119
慈善社會服務,社團法人嘉義縣基督教青年會,王淑華,嘉義縣民雄鄉中樂村民族路44號,2766995   2262134 
慈善社會服務,嘉義縣新希望關懷協會,何金松,嘉義縣民雄鄉建國路3段124巷7弄1號,2209900   2209595
慈善社會服務,嘉義縣溪北社區關懷協會,李魁旺,嘉義縣新港鄉溪北村201號,3771076   3773675
慈善社會服務,嘉義縣世光社區家庭關懷協會,陳國明,嘉義縣太保市過溝里過溝33號,2373424   F:2379323
慈善社會服務,嘉義縣梅花小城生空間發展協會,陳俊銘,嘉義縣水上鄉國姓村三界埔聯絡地420號,F:2891838   2890303轉109
慈善社會服務,嘉義縣新港愛鄉慈善會,蔡錦屏,嘉義縣新港鄉中山路99號,3747898   3747999  F:3748799 許秘書0970489722  小祺0939665325
慈善社會服務,嘉義縣頂菜園發展協會,黃碧蘭,嘉義縣新港鄉共和村6鄰頂菜園12號,05-7810313 2214233 0926300976
慈善社會服務,嘉義縣擎天自強協會,葉田,嘉義縣水上鄉三和村頂寮28-17號,2359865 0910837081
慈善社會服務,(社團法人)嘉義縣民雄中正大鎮發展協會,林明傑,嘉義縣民雄鄉民雄北斗村新正五街31號,2720411轉36308.    2131400 0927386839
慈善社會服務,嘉義縣社區復健服務協會,朱宏儒,嘉義縣朴子市市東路109-3號2樓,  2339701 0915838096
慈善社會服務,嘉義縣楊再興關懷慈善會,楊正福,嘉義縣六腳鄉蒜頭村131號,3800324   3805642 3472044-209
慈善社會服務,嘉義縣泛藍協會,柯仁傑,嘉義縣水上鄉柳新村柳子林1611號,0932877621
慈善社會服務,嘉義縣長期照護發展協會,林國龍,嘉義縣水上鄉大堀村江竹仔腳3-4號,3705522   3794622  0985000220
慈善社會服務,嘉義縣阿里山社區關懷協會,安淑美,嘉義縣阿里山鄉樂野村37號,0912991713
慈善社會服務,嘉義縣青少年兒童關懷協會,吳思凱,嘉義縣義竹鄉東光村62號,3421243
慈善社會服務,社團法人嘉義縣扶緣服務協會,高燦,嘉義縣新港鄉公園路28-1號4樓,3747552  F:3744994
慈善社會服務,社團法人嘉義縣頂笨仔文化協會,劉嘉南,嘉義縣竹崎鄉光華村頂笨仔2鄰22-1號,2561929  2561868  0919790807
慈善社會服務,嘉義縣兒童及少年福利發展協會,沈玉培,嘉義縣民雄鄉文隆村85號,2263411轉2606     2732439   F:2265141  
慈善社會服務,嘉義縣大地保護協會,林金敏,嘉義縣大林鎮明和里甘蔗崙10鄰1號,2652752
慈善社會服務,嘉義縣北斗急助協會,賴盛哲,嘉義縣民雄鄉北斗村1鄰北勢子2-3號,2218328 0933676961
慈善社會服務,嘉義縣勞動者權益關懷協會,陳木成,嘉義縣朴子市第二市場6棟10號,3799767
慈善社會服務,嘉義縣傳愛全人關懷協會,闕戴淑媺,嘉義縣水上鄉柳新村柳子林48-10號,2686324
慈善社會服務,嘉義縣睦鄰社區家庭成長協會,王連賜,嘉義縣太保市博學路257號,3620772 3625136
慈善社會服務,嘉義縣大林歌唱會,江武松,連絡地址：大林鎮水源路22巷23號,0912183797  2659113
慈善社會服務,嘉義縣勵學關懷協會,何秋雲,嘉義縣民雄鄉復興路202號,2066288   0960355206
慈善社會服務,嘉義縣傳統文化協會,江富成,嘉義市大同路419號,05-2832220   0918130101
慈善社會服務,嘉義縣防災協會,劉敬祥,嘉義縣水上鄉柳林村123號,05-2682219 0932843912
慈善社會服務,嘉義縣德澤社區關懷協會,林茂盛,嘉義縣新港鄉大鄉村中正路229號,05-3742191   FAX:3748775
慈善社會服務,嘉義縣監所收容人關懷協會,郭傳福,嘉義縣鹿草鄉松竹村120之2號.,05-3750678   F:3751915
慈善社會服務,社團法人嘉義縣紫藤婦幼關懷協會,陳珮淇,聯絡處嘉義市圓福街10巷6號 ,
慈善社會服務,嘉義縣兵役權益關懷協會,張明達,嘉義縣番路鄉下坑村菜公店36-3號,05-3660583   2592988   F:3620682  
慈善社會服務,嘉義縣新厝內黃希哲紀念協會,?弈騰,嘉義縣六腳鄉蒜頭村189號之2,05-3802059
慈善社會服務,社團法人嘉義縣北回急難救助協會,林銘賢,嘉義縣朴子市德家里吳竹子腳120號,05-2358505//2358893  3693331 0933376430
慈善社會服務,嘉義縣水源政策與居民權益為護協進會,劉坤庭,大埔鄉大埔村5鄰162號之1二樓,05-2521362   0920662006
慈善社會服務,嘉義縣嘉太工業區廠商協進會,張守仁,嘉義縣太保市嘉太工業區中興路1號, 05-2382149/ 2376917  
慈善社會服務,嘉義縣原住民婦女永續發展協會,鄭梅英,嘉義市宣信街7-11號,2292425     F:2160172 105.3.20  2-2臨時
慈善社會服務,嘉義縣梅山社區關懷協會,買雅芬,嘉義縣梅山鄉梅北村新興路282號,2621644
慈善社會服務,嘉義縣愛家反暴力協會,林明傑,嘉義縣民雄鄉北斗村新正五街31號,"2720411 0978857862
"
慈善社會服務,嘉義縣福欣社會福利協會,林杏諭,嘉義縣鹿草鄉竹山村219號之7號,936984939
慈善社會服務,社團法人嘉義縣福利社區化推動協會,曾安銅,聯絡地址：嘉義市力行街72號,05-2611125 2255589
慈善社會服務,嘉義縣六家佃社造協會,王世禎,嘉義縣六腳鄉潭墘村75-12號,05-2857111  0933376700
慈善社會服務,嘉義縣鄒族部落關懷協會,安志強,嘉義縣阿里山鄉山美村4鄰89號,05-2586554
慈善社會服務,社團法人嘉義縣新港法華慈善會,謝成美,嘉義縣新港鄉宮前村13鄰古民街1號之18,05-3742799
慈善社會服務,嘉義縣生活美學協會,李永山,嘉義縣鹿草鄉下潭村76-8號,0933533397
慈善社會服務,社團法人嘉義縣袋裏乾坤淨心協會,蔡港益,嘉義縣義竹鄉北華村2鄰北港子35號之1,05-3620123轉140
慈善社會服務,嘉義縣計程車共乘發展協會,呂蘇香,嘉義縣中埔鄉中華路305項189號,2842168
慈善社會服務,嘉義縣正義社,林宗億,嘉義縣太保市太保里太保路270-6號,3717755
社會服務團體,嘉義縣家長協會,蔡惇敘,嘉義縣民雄鄉山中村726號,05-2611006-16
社會服務團體,嘉義縣高鐵嘉義站交通安全協進會,林世通,嘉義縣朴子市朴子七路148號,05-3628578
社會服務團體,嘉義縣勞動力康樂協會,陳合堂,嘉義縣朴子市第二市場六棟10號,05-3703998
社會服務團體,嘉義縣新移民關懷協會,萬軍,嘉義縣布袋鎮新厝里65號,0911656933    FAX:05-3476868
慈善社會服務,社團法人嘉義縣慈善團體聯合協會,呂文正,嘉義縣太保市祥和二路東段5號3樓,05-3622121 3622123   F:05-3621883
社會服務團體,社團法人嘉義縣仁義關懷協會,侯義雄,嘉義縣六腳鄉溪厝村41號,0915197099 0912550128
社會服務團體,嘉義縣新港溪北功德會,江明煌,嘉義縣新港鄉溪北村5鄰39號之1,05-3747625 0937557872
社會服務團體,社團法人嘉義縣慈聖功德會,陳伯鐘,嘉義縣六腳鄉溪厝村133號,05-3806398 0932468370 3701256
社會服務團體,嘉義縣新住民家庭關懷協會,阮氏孝,梅山鄉梅北村環北路95號,05-2950109
社會服務團體,嘉義縣農村再生社區營造協會,潘崑山,嘉義縣竹崎鄉紫雲村鹿寮堀79號三樓,05-7812942 0937572955   2542901
社會服務團體,社團法人嘉義縣愛嘉慈善會,陳昱良,嘉義縣鹿草鄉西井村628號,05-3753967 0937577411
社會服務團體,社團法人嘉義縣飛雁創業育成協會,黃采燕,聯絡地址 嘉義市西區八德路77號,05-2332508 0980220657
社會服務團體,嘉義縣文物學會,林達卿,嘉義縣六腳鄉更寮村55號,05-2680936 0937306716
社會服務團體,嘉義縣新港菜公永傑歌唱協會,陳永華,嘉義縣新港鄉菜公村8之1號,05-3744203 3741145#101 
"社會服
務團體",嘉義縣牛稠埔文化發展協會,江坤明,嘉義縣水上鄉南鄉村牛稠埔84號,0937978884
"社會服
務團體",社團法人嘉義縣社會關懷協會,翁伯森,嘉義縣民雄鄉文隆村18鄰1之22號,05-2064628
"社會服
務團體",嘉義縣善心慈善會,林德地,嘉義縣太保市北新里中山路一段228巷20弄10號 ,05-2387734  0984300762
"社會服
務團體",社團法人嘉義縣基督教月眉潭關懷協會,曾宗國,嘉義縣新港鄉月潭村10鄰月眉潭259號之3,05-3775305 3749242
"社會服
務團體",嘉義縣保護動物協會,林茂盛,嘉義縣新港鄉大興村中正路229號,05-3742191 F:05-3748775
"社會服
務團體",嘉義縣日滿關懷協會,王清美,嘉義縣竹崎鄉鹿滿村頂溪心5鄰46之30號,F:05-26147141 0985099588 0928683877
"社會服
務團體",嘉義縣正心園關懷扶助會,黃水泉,嘉義縣太保市梅埔里梅埔73之6號,0952567585  2201840
"社會服
務團體",社團法人嘉義縣以斯帖全人關懷協會,游象輝,嘉義縣太保市崙頂里1鄰5之16號,"3713662  3712113
"
"社會服
務團體",嘉義縣新港歌唱聯誼會,楊文進,嘉義縣新港鄉中山路127號,"0918433399
0988020000 3746495"
"社會服
務團體",嘉義縣原住民逐鹿協會,莊莫俄,嘉義縣中埔鄉豐收村興化?2之176號,0975005750
"社會服
務團體",嘉義縣生態保育協會,林玲蘭,嘉義縣布袋鎮光復里太平路251號1樓,0911875920  3476483
"社會服
務團體",嘉義縣朴子電音三太子發展協會,黃基全,嘉義縣朴子市天星新村207之2號,0936400255
"社會服
務團體",社團法人嘉義縣祭祀公業牛稠山福德爺會,郭樹,嘉義縣民雄鄉中山村牛斗山105號之4,楊豐霖0910875140 村長0935817333  0963190313 林先生
"社會服
務團體",嘉義縣桃城手捏壺學會,李慶仁,嘉義市義教街788巷18號,0916891227 0932557458 2763025
"社會服
務團體",嘉義縣民雄媽祖慈善會,黃嘉寬,嘉義縣民雄鄉西安村民溪路28號, 05-2261111  0953918653
"社會服
務團體",嘉義縣新港社交舞聯誼會,陳瑞仁,嘉義縣新港鄉宮前村22鄰1之8號,0933279038
"社會服
務團體",嘉義縣崙尾天赦竹編發展協會,邱明正,嘉義縣溪口鄉美南村天赦12號之1,05-2691207 0932749500
"社會服
務團體",嘉義縣圓滿薩迦學會,楊國清,嘉義縣新港鄉中正路377號,3743819
"社會服
務團體",嘉義縣青年發展協會,丁健庭,嘉義縣朴子鄉祥和一路西段2號,05-3620283#301
"社會服
務團體",嘉義縣阿里山人仁協會,楊玲,嘉義縣民雄鄉中樂村保生街23號,0960017999
"社會服
務團體",嘉義縣菩提慈善會,李宜蓁,嘉義縣太保市後潭里280之4號,0921212858  0932849657
"社會服
務團體",嘉義縣民雄鄉歌唱協會,劉蘇冠,嘉義縣民雄鄉興中村5鄰8號,05-2264893 0932712782
"社會服
務團體",嘉義縣奉天宮濟公廟道濟慈善會,黃文忠,嘉義縣水上鄉崎子頭寬士村736之1號,2352649 0933360623
"社會服
務團體",嘉義縣易筋經養生功法推廣協會,林家慶,嘉義縣太保市北港路2段601巷88號,0933570943
"社會服
務團體",嘉義縣鄒族母語推行協會,江幸時,連絡處：嘉義縣番路鄉下坑村46-18號,"0921212314 2590817
0912991713"
"社會服
務團體",嘉義縣水上鄉青溪協會,江錕城,嘉義縣水上鄉中山路二段259號,2689758 2681416
"社會服
務團體",嘉義縣阿里山來吉得恩亞納生活、文化、產業推動協會,陳有福,嘉義縣阿里山鄉十字村得恩亞納213號,0934179197 0977404605 2661351 
"社會服
務團體",社團法人嘉義縣奇異恩典關懷協會,李淵爵,嘉義縣鹿草鄉西井村305號,6376867
"社會服
務團體",嘉義縣過路子社區家庭全人關懷協會,?智鴻,嘉義縣義竹鄉西過村過路子277號,3437734
"社會服
務團體",嘉義縣社區關懷服務人員協會,卓沂蓁,嘉義縣民雄鄉文隆村鴨母?58號,2266331
"社會服
務團體",嘉義縣朴子日新文化協會,鍾松郎,嘉義縣朴子市南通三路832號,0975202671 0933599675
"社會服
務團體",嘉義縣新港成長協會,楊士弘,嘉義縣新港鄉板頭村板頭厝15號,3748489 0911405112
"社會服
務團體",嘉義縣鳳凰歌唱舞蹈協會,黃雅惠,嘉義縣水上鄉龍德村185號,2688563 0938194515
"社會服
務團體",嘉義縣大林慈鳳宮瘋濟會,陳俊吉,嘉義縣大林鎮排路里86號,2694769 2698139 
"社會服
務團體",嘉義縣陸軍第一特種兵權益促進協會,林翔竣,嘉義縣大林鎮過溪里過溪145號之1,0939872625 0937698638
"社會服
務團體",嘉義縣溫心情家屬協會,林淑玲,嘉義縣太保市祥和二路東段3號四樓,3625995  0919640706 3620600-413
"社會服
務團體",嘉義縣歸宗玄義慈善功德會,侯明雄,嘉義縣太保市棒球二街26號,3661458 0919179457
"社會服
務團體",嘉義縣小英之友會,廖素惠,通訊處：嘉義市力行街72號,2255589
"社會服
務團體",嘉義縣聖賢忠義慈善會,徐?惠,嘉義縣大林鎮中林里下潭底3-3號,2642828 0919498728
"社會服
務團體",嘉義縣澐水溪生態保育協會,劉朝維,嘉義縣中埔鄉深坑村內灣2號,2258000 2394422  
"社會服
務團體",嘉義縣太保人文關懷協會,葉嘉仁,太保市後潭里後潭439-10號,3711106*100
"社會服
務團體",嘉義縣新住民當家協會,范氏太霞,嘉義縣民雄鄉建國三路124巷34號,2213298
"社會服
務團體",嘉義縣明心慈善會,許鵬翔,嘉義縣太保市南新里中正路105巷6號,2375777 2231096
"社會服
務團體",嘉義縣外婆橋教育關懷協會,李榮善,嘉義縣朴子市四維路二段202號,3793309 0918968335
"社會服
務團體",嘉義縣牛爸爸健康促進關懷協會,許維修,嘉義縣太保市梅埔里埔心12-17號,3717125 0930952729  0982516203
"社會服
務團體",嘉義縣彩虹商圈觀光促進發展協會,楊仁教,嘉義縣太保市文昌街8號,3620888 0986616059
"社會服
務團體",嘉義縣老人長期照顧協會,姚卿騰,嘉義縣水上鄉五福街13號1樓,2286398 0953669967
"社會服
務團體",社團法人嘉義縣果然社區活力協進會,許芳瑜,聯絡處：嘉義縣太保市祥和二路東段69號,0937359045
"社會服
務團體",嘉義縣精忠慈善會,林壁章,嘉義縣新港鄉大潭村33號附1號2樓（大潭社區活動中心）,3748858 0910372781
"社會服
務團體",嘉義縣仁合慈善會,史春仁,連絡處：嘉義縣民雄鄉鎮北村圳溝墘18號,0935141332
"社會服
務團體",嘉義縣溪口青年志工服務協會,邱維揚,"通訊聯絡處：嘉義縣溪口鄉中正路249號

",0972692653 0933277447
"社會服
務團體",嘉義縣慈覺關愛協會,余張玉秀,通訊處：嘉義縣民雄鄉中樂村中樂路63號,0935986677 2262024
"社會服
務團體",嘉義縣諸羅山歌藝協會,林合和,嘉義縣太保市新埤里301之7號,0937656436
"社會服
務團體",嘉義縣溪東關懷協會,張旺枝,嘉義縣水上鄉忠和村70-12號,0937699310
"社會服
務團體",社團法人嘉義縣鹿草山子?南陳協進會,陳金城,嘉義縣鹿草鄉後堀村山子?22號,3751269 0912183556
